breed,year,n
AFFENPINSCHER,1997,128
AFGHAN HOUND,1997,356
AIREDALE TERRIER,1997,1029
AKITA,1997,1319
ALASKAN MALAMUTE,1997,87
ANATOLIAN SHEPHERD DOG,1997,68
AUSTRALIAN  CATTLE DOG,1997,31
AUSTRALIAN SHEPHERD,1997,32
AUSTRALIAN SILKY TERRIER,1997,26
AUSTRALIAN TERRIER,1997,36
AZAWAKH,1997,0
BASENJI,1997,87
BASSET BLEU DE GASCOGNE,1997,3
BASSET FAUVE DE BRETAGNE,1997,42
BASSET GRIFFON VENDEEN Petit,1997,109
BASSET HOUND,1997,1321
basset GRIFFON VENDEEN Grand,1997,57
BAVARIAN MOUNTAIN HOUND,1997,14
BEAGLE,1997,1007
BEARDED COLLIE,1997,1286
BEAUCERON,1997,17
BEDLINGTON TERRIER,1997,365
BELGIAN SHEPHERD DOG,1997,445
BERGAMASCO,1997,0
BERNESE MOUNTAIN DOG,1997,895
BICHON FRISE,1997,2612
BLOODHOUND,1997,59
BOLOGNESE,1997,28
BORDER COLLIE,1997,2405
BORDER terrier,1997,3338
BORZOI,1997,188
BOSTON TERRIER,1997,133
BOUVIER DES FLANDRE,1997,187
BOXER,1997,10993
BOXER Crossbreed,1997,0
BRACCO ITALIANO,1997,0
BRIARD,1997,177
BRITTANY ,1997,111
BULL TERRIER,1997,2609
BULL TERRIER Miniature,1997,103
BULLDOG,1997,1951
BULLMASTIFF,1997,2357
CAIRN TERRIER,1997,2329
CANAAN DOG,1997,1
CANADIAN ESKIMO DOG,1997,0
CATALAN SHEEPDOG,1997,0
CAVALIER KING CHARLES SPANIEL,1997,13022
CESKY TERRIER,1997,28
CHIHUAHUA Long Coat,1997,1192
CHIHUAHUA Smooth Coat,1997,598
CHINESE CRESTED ,1997,325
CHOW CHOW,1997,666
CIRNECO DELLETNA,1997,0
COLLIE Rough,1997,2459
COLLIE Smooth,1997,84
COTON DE TULEAR,1997,0
DACHSHUND LongHaired,1997,226
DACHSHUND Miniature LongHaired,1997,1605
DACHSHUND Miniature SmoothHaired,1997,1056
DACHSHUND Miniature WireHaired,1997,700
DACHSHUND SmoothHaired,1997,224
DACHSHUND WireHaired,1997,260
DALMATIAN,1997,3786
DANDIE DINMONT TERRIER,1997,141
DEERHOUND,1997,269
DOBERMANN,1997,2921
DOGUE DE BORDEAUX,1997,0
ENGLISH SETTER,1997,673
ENGLISH TOY TERRIER Black and Tan ,1997,65
ENTLEBUCHER MOUNTAIN DOG,1997,0
ESTRELA MOUNTAIN DOG,1997,14
EURASIER,1997,0
FINNISH LAPPHUND,1997,12
FINNISH SPITZ ,1997,14
FOX TERRIER Smooth,1997,217
FOX TERRIER Wire,1997,683
FOXHOUND,1997,0
FRENCH BULLDOG,1997,185
GERMAN LONGHAIRED POINTER,1997,0
GERMAN PINSCHER,1997,43
GERMAN SHEPHERD DOG ,1997,24508
GERMAN SHORTHAIRED POINTER,1997,1333
GERMAN SPITZ Klein,1997,137
GERMAN SPITZ Mittel,1997,101
GERMAN WIREHAIRED POINTER,1997,289
GIANT SCHNAUZER,1997,255
GLEN OF IMAAL TERRIER,1997,77
GORDON SETTER,1997,346
GRAND BLEU DE GASCOGNE ,1997,15
GREAT DANE,1997,2424
GREATER SWISS MOUNTAIN DOG ,1997,0
GREENLAND DOG,1997,3
GREYHOUND,1997,51
GRIFFON BRUXELLOIS,1997,208
HAMILTONSTOVARE,1997,24
HAVANESE,1997,62
HOVAWART,1997,1
HUNGARIAN KUVASZ,1997,8
HUNGARIAN PULI,1997,186
HUNGARIAN VIZSLA,1997,504
HUNGARIAN WIREHAIRED VIZSLA,1997,41
IBIZAN HOUND,1997,15
IRISH RED and WHITE SETTER,1997,188
IRISH SETTER,1997,1842
IRISH TERRIER,1997,162
IRISH WOLFHOUND,1997,598
ITALIAN GREYHOUND,1997,133
ITALIAN SPINONE,1997,472
JAPANESE AKITA INU,1997,0
JAPANESE CHIN,1997,241
JAPANESE SHIBA INU,1997,191
JAPANESE SPITZ,1997,113
KEESHOND,1997,116
KERRY BLUE TERRIER,1997,277
KING CHARLES SPANIEL,1997,267
KOMONDOR,1997,16
Kooikerhondje,1997,17
KOREAN INDO,1997,0
KORTHALS GRIFFON ,1997,0
LAGOTTO ROMAGNOLO ,1997,0
LAKELAND TERRIER,1997,223
LANCASHIRE HEELER,1997,222
LARGE MUNSTERLANDER,1997,110
LEONBERGER,1997,228
LHASA APSO,1997,3340
LOWCHEN Little Lion Dog,1997,131
MALTESE,1997,541
MANCHESTER TERRIER,1997,70
MAREMMA SHEEPDOG,1997,40
MASTIFF,1997,477
MEXICAN HAIRLESS ,1997,0
MEXICAN HAIRLESS Intermediate  ,1997,0
MEXICAN HAIRLESS Miniature ,1997,0
MEXICAN HAIRLESS Standard ,1997,0
MINIATURE PINSCHER,1997,197
MINIATURE SCHNAUZER,1997,2504
NEAPOLITAN MASTIFF,1997,407
NEWFOUNDLAND,1997,1163
NORFOLK TERRIER,1997,541
NORWEGIAN BUHUND,1997,40
NORWEGIAN ELKHOUND,1997,132
NORWICH TERRIER,1997,184
OLD ENGLISH SHEEPDOG,1997,1269
OTTERHOUND,1997,72
PAPILLON,1997,790
PARSON RUSSELL TERRIER ,1997,564
PEKINGESE,1997,1230
PHARAOH HOUND,1997,46
POINTER,1997,918
POLISH LOWLAND SHEEPDOG,1997,86
POMERANIAN,1997,934
POODLE Miniature,1997,1130
POODLE Standard,1997,1378
POODLE Toy,1997,1895
PORTUGUESE PODENGO,1997,0
PORTUGUESE WATER DOG,1997,40
PUG,1997,545
PYRENEAN MASTIFF ,1997,0
PYRENEAN MOUNTAIN DOG,1997,337
PYRENEAN SHEEPDOG,1997,22
RETRIEVER Chesapeake Bay,1997,72
RETRIEVER Curlycoated,1997,140
RETRIEVER Flatcoated,1997,1502
RETRIEVER Golden,1997,15214
RETRIEVER Labrador,1997,34788
RETRIEVER Nova Scotia Duck Tolling,1997,50
RHODESIAN RIDGEBACK,1997,1114
ROTTWEILER,1997,4561
RUSSIAN BLACK TERRIER,1997,0
SALUKI,1997,97
SAMOYED,1997,1120
SCHIPPERKE,1997,120
SCHNAUZER,1997,287
SCOTTISH TERRIER,1997,1475
SEALYHAM TERRIER,1997,64
SEGUGIO ITALIANO ,1997,5
SHAR PEI,1997,956
SHETLAND SHEEPDOG,1997,2662
SHIH TZU,1997,4207
SIBERIAN HUSKY,1997,614
SKYE TERRIER,1997,75
sloughi,1997,13
SLOVAKIAN ROUGH HAIRED POINTER ,1997,0
SMALL MUNSTERLANDER ,1997,0
SOFTCOATED WHEATEN TERRIER,1997,288
SPANIEL American Cocker,1997,442
SPANIEL American Water ,1997,0
SPANIEL Clumber,1997,166
SPANIEL Cocker,1997,14541
SPANIEL English Springer,1997,13869
SPANIEL Field,1997,112
SPANIEL Irish Water,1997,155
SPANIEL Sussex,1997,82
SPANIEL Welsh Springer,1997,465
SPANISH WATER DOG,1997,0
st bernard,1997,986
STAFFORDSHIRE BULL TERRIER,1997,8699
SWEDISH LAPPHUND,1997,13
SWEDISH VALLHUND,1997,45
TIBETAN MASTIFF,1997,20
TIBETAN SPANIEL,1997,432
TIBETAN TERRIER,1997,1095
WEIMARANER,1997,2494
WELSH CORGI Cardigan,1997,98
WELSH CORGI Pembroke,1997,812
WELSH TERRIER,1997,268
WEST HIGHLAND WHITE TERRIER,1997,16148
WHIPPET,1997,1588
YORKSHIRE TERRIER,1997,9700
AFFENPINSCHER,1998,87
AFGHAN HOUND,1998,464
AIREDALE TERRIER,1998,1018
AKITA,1998,1547
ALASKAN MALAMUTE,1998,112
ANATOLIAN SHEPHERD DOG,1998,43
AUSTRALIAN  CATTLE DOG,1998,20
AUSTRALIAN SHEPHERD,1998,68
AUSTRALIAN SILKY TERRIER,1998,17
AUSTRALIAN TERRIER,1998,59
AZAWAKH,1998,0
BASENJI,1998,46
BASSET BLEU DE GASCOGNE,1998,7
BASSET FAUVE DE BRETAGNE,1998,35
BASSET GRIFFON VENDEEN Petit,1998,104
BASSET HOUND,1998,1161
basset GRIFFON VENDEEN Grand,1998,94
BAVARIAN MOUNTAIN HOUND,1998,1
BEAGLE,1998,939
BEARDED COLLIE,1998,1119
BEAUCERON,1998,5
BEDLINGTON TERRIER,1998,456
BELGIAN SHEPHERD DOG,1998,363
BERGAMASCO,1998,1
BERNESE MOUNTAIN DOG,1998,917
BICHON FRISE,1998,2552
BLOODHOUND,1998,127
BOLOGNESE,1998,27
BORDER COLLIE,1998,2245
BORDER terrier,1998,3479
BORZOI,1998,153
BOSTON TERRIER,1998,124
BOUVIER DES FLANDRE,1998,183
BOXER,1998,9612
BOXER Crossbreed,1998,8
BRACCO ITALIANO,1998,11
BRIARD,1998,200
BRITTANY ,1998,143
BULL TERRIER,1998,2523
BULL TERRIER Miniature,1998,101
BULLDOG,1998,2012
BULLMASTIFF,1998,2357
CAIRN TERRIER,1998,2297
CANAAN DOG,1998,13
CANADIAN ESKIMO DOG,1998,0
CATALAN SHEEPDOG,1998,0
CAVALIER KING CHARLES SPANIEL,1998,12702
CESKY TERRIER,1998,45
CHIHUAHUA Long Coat,1998,1214
CHIHUAHUA Smooth Coat,1998,532
CHINESE CRESTED ,1998,354
CHOW CHOW,1998,619
CIRNECO DELLETNA,1998,0
COLLIE Rough,1998,2339
COLLIE Smooth,1998,48
COTON DE TULEAR,1998,3
DACHSHUND LongHaired,1998,303
DACHSHUND Miniature LongHaired,1998,1726
DACHSHUND Miniature SmoothHaired,1998,1187
DACHSHUND Miniature WireHaired,1998,757
DACHSHUND SmoothHaired,1998,251
DACHSHUND WireHaired,1998,335
DALMATIAN,1998,3058
DANDIE DINMONT TERRIER,1998,167
DEERHOUND,1998,223
DOBERMANN,1998,2906
DOGUE DE BORDEAUX,1998,195
ENGLISH SETTER,1998,759
ENGLISH TOY TERRIER Black and Tan ,1998,42
ENTLEBUCHER MOUNTAIN DOG,1998,0
ESTRELA MOUNTAIN DOG,1998,13
EURASIER,1998,0
FINNISH LAPPHUND,1998,33
FINNISH SPITZ ,1998,29
FOX TERRIER Smooth,1998,216
FOX TERRIER Wire,1998,670
FOXHOUND,1998,0
FRENCH BULLDOG,1998,240
GERMAN LONGHAIRED POINTER,1998,24
GERMAN PINSCHER,1998,21
GERMAN SHEPHERD DOG ,1998,20953
GERMAN SHORTHAIRED POINTER,1998,1418
GERMAN SPITZ Klein,1998,139
GERMAN SPITZ Mittel,1998,94
GERMAN WIREHAIRED POINTER,1998,297
GIANT SCHNAUZER,1998,242
GLEN OF IMAAL TERRIER,1998,58
GORDON SETTER,1998,441
GRAND BLEU DE GASCOGNE ,1998,9
GREAT DANE,1998,2027
GREATER SWISS MOUNTAIN DOG ,1998,0
GREENLAND DOG,1998,0
GREYHOUND,1998,88
GRIFFON BRUXELLOIS,1998,178
HAMILTONSTOVARE,1998,14
HAVANESE,1998,34
HOVAWART,1998,34
HUNGARIAN KUVASZ,1998,0
HUNGARIAN PULI,1998,131
HUNGARIAN VIZSLA,1998,528
HUNGARIAN WIREHAIRED VIZSLA,1998,33
IBIZAN HOUND,1998,28
IRISH RED and WHITE SETTER,1998,191
IRISH SETTER,1998,1443
IRISH TERRIER,1998,195
IRISH WOLFHOUND,1998,562
ITALIAN GREYHOUND,1998,128
ITALIAN SPINONE,1998,302
JAPANESE AKITA INU,1998,0
JAPANESE CHIN,1998,199
JAPANESE SHIBA INU,1998,184
JAPANESE SPITZ,1998,107
KEESHOND,1998,107
KERRY BLUE TERRIER,1998,291
KING CHARLES SPANIEL,1998,221
KOMONDOR,1998,22
Kooikerhondje,1998,7
KOREAN INDO,1998,0
KORTHALS GRIFFON ,1998,0
LAGOTTO ROMAGNOLO ,1998,0
LAKELAND TERRIER,1998,281
LANCASHIRE HEELER,1998,208
LARGE MUNSTERLANDER,1998,104
LEONBERGER,1998,204
LHASA APSO,1998,3358
LOWCHEN Little Lion Dog,1998,99
MALTESE,1998,522
MANCHESTER TERRIER,1998,112
MAREMMA SHEEPDOG,1998,37
MASTIFF,1998,469
MEXICAN HAIRLESS ,1998,3
MEXICAN HAIRLESS Intermediate  ,1998,0
MEXICAN HAIRLESS Miniature ,1998,0
MEXICAN HAIRLESS Standard ,1998,0
MINIATURE PINSCHER,1998,160
MINIATURE SCHNAUZER,1998,2559
NEAPOLITAN MASTIFF,1998,443
NEWFOUNDLAND,1998,1026
NORFOLK TERRIER,1998,618
NORWEGIAN BUHUND,1998,25
NORWEGIAN ELKHOUND,1998,134
NORWICH TERRIER,1998,173
OLD ENGLISH SHEEPDOG,1998,959
OTTERHOUND,1998,36
PAPILLON,1998,871
PARSON RUSSELL TERRIER ,1998,589
PEKINGESE,1998,1161
PHARAOH HOUND,1998,17
POINTER,1998,698
POLISH LOWLAND SHEEPDOG,1998,69
POMERANIAN,1998,971
POODLE Miniature,1998,1114
POODLE Standard,1998,1307
POODLE Toy,1998,1729
PORTUGUESE PODENGO,1998,0
PORTUGUESE WATER DOG,1998,24
PUG,1998,646
PYRENEAN MASTIFF ,1998,0
PYRENEAN MOUNTAIN DOG,1998,264
PYRENEAN SHEEPDOG,1998,19
RETRIEVER Chesapeake Bay,1998,79
RETRIEVER Curlycoated,1998,168
RETRIEVER Flatcoated,1998,1292
RETRIEVER Golden,1998,14803
RETRIEVER Labrador,1998,35978
RETRIEVER Nova Scotia Duck Tolling,1998,64
RHODESIAN RIDGEBACK,1998,1016
ROTTWEILER,1998,4954
RUSSIAN BLACK TERRIER,1998,0
SALUKI,1998,113
SAMOYED,1998,1022
SCHIPPERKE,1998,97
SCHNAUZER,1998,301
SCOTTISH TERRIER,1998,1280
SEALYHAM TERRIER,1998,48
SEGUGIO ITALIANO ,1998,5
SHAR PEI,1998,877
SHETLAND SHEEPDOG,1998,2407
SHIH TZU,1998,4252
SIBERIAN HUSKY,1998,796
SKYE TERRIER,1998,111
sloughi,1998,16
SLOVAKIAN ROUGH HAIRED POINTER ,1998,0
SMALL MUNSTERLANDER ,1998,0
SOFTCOATED WHEATEN TERRIER,1998,241
SPANIEL American Cocker,1998,465
SPANIEL American Water ,1998,0
SPANIEL Clumber,1998,127
SPANIEL Cocker,1998,14117
SPANIEL English Springer,1998,12741
SPANIEL Field,1998,72
SPANIEL Irish Water,1998,134
SPANIEL Sussex,1998,58
SPANIEL Welsh Springer,1998,409
SPANISH WATER DOG,1998,12
st bernard,1998,839
STAFFORDSHIRE BULL TERRIER,1998,9563
SWEDISH LAPPHUND,1998,9
SWEDISH VALLHUND,1998,65
TIBETAN MASTIFF,1998,23
TIBETAN SPANIEL,1998,352
TIBETAN TERRIER,1998,949
WEIMARANER,1998,2743
WELSH CORGI Cardigan,1998,83
WELSH CORGI Pembroke,1998,627
WELSH TERRIER,1998,300
WEST HIGHLAND WHITE TERRIER,1998,15131
WHIPPET,1998,1619
YORKSHIRE TERRIER,1998,8818
AFFENPINSCHER,1999,115
AFGHAN HOUND,1999,228
AIREDALE TERRIER,1999,848
AKITA,1999,1236
ALASKAN MALAMUTE,1999,156
ANATOLIAN SHEPHERD DOG,1999,46
AUSTRALIAN  CATTLE DOG,1999,55
AUSTRALIAN SHEPHERD,1999,87
AUSTRALIAN SILKY TERRIER,1999,17
AUSTRALIAN TERRIER,1999,47
AZAWAKH,1999,0
BASENJI,1999,69
BASSET BLEU DE GASCOGNE,1999,7
BASSET FAUVE DE BRETAGNE,1999,40
BASSET GRIFFON VENDEEN Petit,1999,165
BASSET HOUND,1999,1047
basset GRIFFON VENDEEN Grand,1999,119
BAVARIAN MOUNTAIN HOUND,1999,0
BEAGLE,1999,980
BEARDED COLLIE,1999,721
BEAUCERON,1999,7
BEDLINGTON TERRIER,1999,416
BELGIAN SHEPHERD DOG,1999,304
BERGAMASCO,1999,10
BERNESE MOUNTAIN DOG,1999,692
BICHON FRISE,1999,2258
BLOODHOUND,1999,90
BOLOGNESE,1999,48
BORDER COLLIE,1999,2010
BORDER terrier,1999,4484
BORZOI,1999,202
BOSTON TERRIER,1999,191
BOUVIER DES FLANDRE,1999,137
BOXER,1999,9034
BOXER Crossbreed,1999,0
BRACCO ITALIANO,1999,25
BRIARD,1999,222
BRITTANY ,1999,103
BULL TERRIER,1999,2419
BULL TERRIER Miniature,1999,161
BULLDOG,1999,1878
BULLMASTIFF,1999,2058
CAIRN TERRIER,1999,1550
CANAAN DOG,1999,18
CANADIAN ESKIMO DOG,1999,8
CATALAN SHEEPDOG,1999,0
CAVALIER KING CHARLES SPANIEL,1999,10309
CESKY TERRIER,1999,33
CHIHUAHUA Long Coat,1999,907
CHIHUAHUA Smooth Coat,1999,372
CHINESE CRESTED ,1999,312
CHOW CHOW,1999,482
CIRNECO DELLETNA,1999,0
COLLIE Rough,1999,1659
COLLIE Smooth,1999,58
COTON DE TULEAR,1999,10
DACHSHUND LongHaired,1999,204
DACHSHUND Miniature LongHaired,1999,1385
DACHSHUND Miniature SmoothHaired,1999,1052
DACHSHUND Miniature WireHaired,1999,615
DACHSHUND SmoothHaired,1999,218
DACHSHUND WireHaired,1999,229
DALMATIAN,1999,2062
DANDIE DINMONT TERRIER,1999,96
DEERHOUND,1999,217
DOBERMANN,1999,3037
DOGUE DE BORDEAUX,1999,661
ENGLISH SETTER,1999,599
ENGLISH TOY TERRIER Black and Tan ,1999,77
ENTLEBUCHER MOUNTAIN DOG,1999,0
ESTRELA MOUNTAIN DOG,1999,6
EURASIER,1999,0
FINNISH LAPPHUND,1999,13
FINNISH SPITZ ,1999,10
FOX TERRIER Smooth,1999,160
FOX TERRIER Wire,1999,598
FOXHOUND,1999,0
FRENCH BULLDOG,1999,229
GERMAN LONGHAIRED POINTER,1999,26
GERMAN PINSCHER,1999,30
GERMAN SHEPHERD DOG ,1999,14270
GERMAN SHORTHAIRED POINTER,1999,1210
GERMAN SPITZ Klein,1999,132
GERMAN SPITZ Mittel,1999,75
GERMAN WIREHAIRED POINTER,1999,313
GIANT SCHNAUZER,1999,179
GLEN OF IMAAL TERRIER,1999,16
GORDON SETTER,1999,288
GRAND BLEU DE GASCOGNE ,1999,0
GREAT DANE,1999,1752
GREATER SWISS MOUNTAIN DOG ,1999,0
GREENLAND DOG,1999,1
GREYHOUND,1999,57
GRIFFON BRUXELLOIS,1999,141
HAMILTONSTOVARE,1999,20
HAVANESE,1999,49
HOVAWART,1999,23
HUNGARIAN KUVASZ,1999,0
HUNGARIAN PULI,1999,60
HUNGARIAN VIZSLA,1999,502
HUNGARIAN WIREHAIRED VIZSLA,1999,123
IBIZAN HOUND,1999,4
IRISH RED and WHITE SETTER,1999,133
IRISH SETTER,1999,1142
IRISH TERRIER,1999,175
IRISH WOLFHOUND,1999,489
ITALIAN GREYHOUND,1999,89
ITALIAN SPINONE,1999,276
JAPANESE AKITA INU,1999,0
JAPANESE CHIN,1999,192
JAPANESE SHIBA INU,1999,141
JAPANESE SPITZ,1999,73
KEESHOND,1999,93
KERRY BLUE TERRIER,1999,318
KING CHARLES SPANIEL,1999,161
KOMONDOR,1999,8
Kooikerhondje,1999,5
KOREAN INDO,1999,0
KORTHALS GRIFFON ,1999,0
LAGOTTO ROMAGNOLO ,1999,24
LAKELAND TERRIER,1999,213
LANCASHIRE HEELER,1999,180
LARGE MUNSTERLANDER,1999,147
LEONBERGER,1999,259
LHASA APSO,1999,2915
LOWCHEN Little Lion Dog,1999,138
MALTESE,1999,397
MANCHESTER TERRIER,1999,92
MAREMMA SHEEPDOG,1999,34
MASTIFF,1999,496
MEXICAN HAIRLESS ,1999,0
MEXICAN HAIRLESS Intermediate  ,1999,0
MEXICAN HAIRLESS Miniature ,1999,0
MEXICAN HAIRLESS Standard ,1999,0
MINIATURE PINSCHER,1999,176
MINIATURE SCHNAUZER,1999,2351
NEAPOLITAN MASTIFF,1999,356
NEWFOUNDLAND,1999,934
NORFOLK TERRIER,1999,495
NORWEGIAN BUHUND,1999,43
NORWEGIAN ELKHOUND,1999,96
NORWICH TERRIER,1999,144
OLD ENGLISH SHEEPDOG,1999,763
OTTERHOUND,1999,34
PAPILLON,1999,662
PARSON RUSSELL TERRIER ,1999,630
PEKINGESE,1999,739
PHARAOH HOUND,1999,17
POINTER,1999,746
POLISH LOWLAND SHEEPDOG,1999,42
POMERANIAN,1999,693
POODLE Miniature,1999,914
POODLE Standard,1999,1067
POODLE Toy,1999,1329
PORTUGUESE PODENGO,1999,0
PORTUGUESE WATER DOG,1999,24
PUG,1999,871
PYRENEAN MASTIFF ,1999,0
PYRENEAN MOUNTAIN DOG,1999,201
PYRENEAN SHEEPDOG,1999,28
RETRIEVER Chesapeake Bay,1999,97
RETRIEVER Curlycoated,1999,100
RETRIEVER Flatcoated,1999,1244
RETRIEVER Golden,1999,9839
RETRIEVER Labrador,1999,33668
RETRIEVER Nova Scotia Duck Tolling,1999,87
RHODESIAN RIDGEBACK,1999,1031
ROTTWEILER,1999,5587
RUSSIAN BLACK TERRIER,1999,36
SALUKI,1999,114
SAMOYED,1999,582
SCHIPPERKE,1999,112
SCHNAUZER,1999,364
SCOTTISH TERRIER,1999,925
SEALYHAM TERRIER,1999,62
SEGUGIO ITALIANO ,1999,6
SHAR PEI,1999,947
SHETLAND SHEEPDOG,1999,1673
SHIH TZU,1999,3304
SIBERIAN HUSKY,1999,1038
SKYE TERRIER,1999,73
sloughi,1999,21
SLOVAKIAN ROUGH HAIRED POINTER ,1999,0
SMALL MUNSTERLANDER ,1999,0
SOFTCOATED WHEATEN TERRIER,1999,247
SPANIEL American Cocker,1999,512
SPANIEL American Water ,1999,0
SPANIEL Clumber,1999,111
SPANIEL Cocker,1999,12680
SPANIEL English Springer,1999,11892
SPANIEL Field,1999,73
SPANIEL Irish Water,1999,112
SPANIEL Sussex,1999,70
SPANIEL Welsh Springer,1999,360
SPANISH WATER DOG,1999,22
st bernard,1999,715
STAFFORDSHIRE BULL TERRIER,1999,10072
SWEDISH LAPPHUND,1999,6
SWEDISH VALLHUND,1999,33
TIBETAN MASTIFF,1999,25
TIBETAN SPANIEL,1999,267
TIBETAN TERRIER,1999,897
WEIMARANER,1999,2505
WELSH CORGI Cardigan,1999,50
WELSH CORGI Pembroke,1999,601
WELSH TERRIER,1999,280
WEST HIGHLAND WHITE TERRIER,1999,11019
WHIPPET,1999,1537
YORKSHIRE TERRIER,1999,5069
AFFENPINSCHER,2000,107
AFGHAN HOUND,2000,310
AIREDALE TERRIER,2000,1088
AKITA,2000,1690
ALASKAN MALAMUTE,2000,128
ANATOLIAN SHEPHERD DOG,2000,47
AUSTRALIAN  CATTLE DOG,2000,53
AUSTRALIAN SHEPHERD,2000,52
AUSTRALIAN SILKY TERRIER,2000,31
AUSTRALIAN TERRIER,2000,46
AZAWAKH,2000,0
BASENJI,2000,51
BASSET BLEU DE GASCOGNE,2000,0
BASSET FAUVE DE BRETAGNE,2000,87
BASSET GRIFFON VENDEEN Petit,2000,126
BASSET HOUND,2000,1254
basset GRIFFON VENDEEN Grand,2000,100
BAVARIAN MOUNTAIN HOUND,2000,0
BEAGLE,2000,956
BEARDED COLLIE,2000,952
BEAUCERON,2000,8
BEDLINGTON TERRIER,2000,357
BELGIAN SHEPHERD DOG,2000,332
BERGAMASCO,2000,1
BERNESE MOUNTAIN DOG,2000,823
BICHON FRISE,2000,2364
BLOODHOUND,2000,101
BOLOGNESE,2000,18
BORDER COLLIE,2000,1920
BORDER terrier,2000,4312
BORZOI,2000,156
BOSTON TERRIER,2000,155
BOUVIER DES FLANDRE,2000,117
BOXER,2000,10573
BOXER Crossbreed,2000,0
BRACCO ITALIANO,2000,11
BRIARD,2000,150
BRITTANY ,2000,150
BULL TERRIER,2000,2925
BULL TERRIER Miniature,2000,162
BULLDOG,2000,1973
BULLMASTIFF,2000,2299
CAIRN TERRIER,2000,1864
CANAAN DOG,2000,10
CANADIAN ESKIMO DOG,2000,0
CATALAN SHEEPDOG,2000,0
CAVALIER KING CHARLES SPANIEL,2000,11415
CESKY TERRIER,2000,44
CHIHUAHUA Long Coat,2000,1048
CHIHUAHUA Smooth Coat,2000,498
CHINESE CRESTED ,2000,376
CHOW CHOW,2000,498
CIRNECO DELLETNA,2000,0
COLLIE Rough,2000,1883
COLLIE Smooth,2000,56
COTON DE TULEAR,2000,2
DACHSHUND LongHaired,2000,182
DACHSHUND Miniature LongHaired,2000,1466
DACHSHUND Miniature SmoothHaired,2000,1124
DACHSHUND Miniature WireHaired,2000,710
DACHSHUND SmoothHaired,2000,241
DACHSHUND WireHaired,2000,297
DALMATIAN,2000,2752
DANDIE DINMONT TERRIER,2000,160
DEERHOUND,2000,249
DOBERMANN,2000,3198
DOGUE DE BORDEAUX,2000,551
ENGLISH SETTER,2000,768
ENGLISH TOY TERRIER Black and Tan ,2000,62
ENTLEBUCHER MOUNTAIN DOG,2000,0
ESTRELA MOUNTAIN DOG,2000,22
EURASIER,2000,0
FINNISH LAPPHUND,2000,26
FINNISH SPITZ ,2000,23
FOX TERRIER Smooth,2000,234
FOX TERRIER Wire,2000,651
FOXHOUND,2000,4
FRENCH BULLDOG,2000,227
GERMAN LONGHAIRED POINTER,2000,8
GERMAN PINSCHER,2000,12
GERMAN SHEPHERD DOG ,2000,17852
GERMAN SHORTHAIRED POINTER,2000,1403
GERMAN SPITZ Klein,2000,126
GERMAN SPITZ Mittel,2000,103
GERMAN WIREHAIRED POINTER,2000,368
GIANT SCHNAUZER,2000,269
GLEN OF IMAAL TERRIER,2000,48
GORDON SETTER,2000,451
GRAND BLEU DE GASCOGNE ,2000,13
GREAT DANE,2000,1976
GREATER SWISS MOUNTAIN DOG ,2000,0
GREENLAND DOG,2000,19
GREYHOUND,2000,80
GRIFFON BRUXELLOIS,2000,146
HAMILTONSTOVARE,2000,24
HAVANESE,2000,48
HOVAWART,2000,18
HUNGARIAN KUVASZ,2000,0
HUNGARIAN PULI,2000,89
HUNGARIAN VIZSLA,2000,578
HUNGARIAN WIREHAIRED VIZSLA,2000,87
IBIZAN HOUND,2000,16
IRISH RED and WHITE SETTER,2000,118
IRISH SETTER,2000,1428
IRISH TERRIER,2000,258
IRISH WOLFHOUND,2000,601
ITALIAN GREYHOUND,2000,130
ITALIAN SPINONE,2000,405
JAPANESE AKITA INU,2000,0
JAPANESE CHIN,2000,228
JAPANESE SHIBA INU,2000,163
JAPANESE SPITZ,2000,99
KEESHOND,2000,100
KERRY BLUE TERRIER,2000,279
KING CHARLES SPANIEL,2000,185
KOMONDOR,2000,18
Kooikerhondje,2000,0
KOREAN INDO,2000,0
KORTHALS GRIFFON ,2000,0
LAGOTTO ROMAGNOLO ,2000,36
LAKELAND TERRIER,2000,269
LANCASHIRE HEELER,2000,164
LARGE MUNSTERLANDER,2000,106
LEONBERGER,2000,289
LHASA APSO,2000,3450
LOWCHEN Little Lion Dog,2000,96
MALTESE,2000,436
MANCHESTER TERRIER,2000,127
MAREMMA SHEEPDOG,2000,45
MASTIFF,2000,576
MEXICAN HAIRLESS ,2000,5
MEXICAN HAIRLESS Intermediate  ,2000,0
MEXICAN HAIRLESS Miniature ,2000,0
MEXICAN HAIRLESS Standard ,2000,0
MINIATURE PINSCHER,2000,156
MINIATURE SCHNAUZER,2000,2399
NEAPOLITAN MASTIFF,2000,474
NEWFOUNDLAND,2000,1085
NORFOLK TERRIER,2000,590
NORWEGIAN BUHUND,2000,44
NORWEGIAN ELKHOUND,2000,102
NORWICH TERRIER,2000,165
OLD ENGLISH SHEEPDOG,2000,759
OTTERHOUND,2000,46
PAPILLON,2000,843
PARSON RUSSELL TERRIER ,2000,571
PEKINGESE,2000,990
PHARAOH HOUND,2000,20
POINTER,2000,737
POLISH LOWLAND SHEEPDOG,2000,70
POMERANIAN,2000,758
POODLE Miniature,2000,1024
POODLE Standard,2000,1084
POODLE Toy,2000,1581
PORTUGUESE PODENGO,2000,0
